median	mean	cor_Fumagalli	corlowvshigh_Fumagalli	GENE	Gene|EntrezID
0	0.012			?|100130426	?|100130426
0	0.000			?|136542	?|136542
0	0.148			?|280660	?|280660
0	0.046			?|317712	?|317712
0	0.191			?|391343	?|391343
0	0.250			?|391714	?|391714
0	0.004			?|404770	?|404770
0	0.007			?|441362	?|441362
0	0.024			?|442388	?|442388
0	0.003			?|728045	?|728045
0	0.044			?|728603	?|728603
0	0.387			?|728788	?|728788
0	0.119	-0.124775162	low.cor	A1CF	A1CF|29974
0	0.345	0.413857921	low.cor	A2BP1	A2BP1|54715
0	0.019			AAA1	AAA1|404744
0	0.198	0.129806141	low.cor	AADACL2	AADACL2|344752
0	0.311			AADACL3	AADACL3|126767
0	0.080			AADACL4	AADACL4|343066
0	0.946	0.347938813	low.cor	ABCC12	ABCC12|94160
0	0.431			ABCC13	ABCC13|150000
0	0.077	0.109105286	low.cor	ACCN5	ACCN5|51802
0	0.111			ACCSL	ACCSL|390110
0	0.270	0.526834327	low.cor	ACMSD	ACMSD|130013
0	0.156	0.146301938	low.cor	ACOT12	ACOT12|134526
0	0.180	-0.238527353	low.cor	ACPT	ACPT|93650
0	0.154	0.238109899	low.cor	ACSM2A	ACSM2A|123876
0	0.144			ACSM2B	ACSM2B|348158
0	0.150			ACSM4	ACSM4|341392
0	0.135	0.144347939	low.cor	ACTL6B	ACTL6B|51412
0	0.019	-0.003111226	low.cor	ACTL7A	ACTL7A|10881
0	0.137	0.019380347	low.cor	ACTL7B	ACTL7B|10880
0	0.024	0.127689914	low.cor	ACTL9	ACTL9|284382
0	0.069			ACTRT1	ACTRT1|139741
0	0.016	0.042488373	low.cor	ACTRT2	ACTRT2|140625
0	0.202	-0.130129567	low.cor	ADAD1	ADAD1|132612
0	0.057	0.116833577	low.cor	ADAM18	ADAM18|8749
0	0.230	0.464411844	low.cor	ADAM2	ADAM2|2515
0	0.069	0.02158112	low.cor	ADAM30	ADAM30|11085
0	0.019			ADAM3A	ADAM3A|1587
0	0.033			ADAM5P	ADAM5P|255926
0	0.051	-0.088439348	low.cor	ADAM7	ADAM7|8756
0	0.645	0.269509982	low.cor	ADAMTS20	ADAMTS20|80070
0	0.915	0.214869069	low.cor	ADCY8	ADCY8|114
0	0.372	0.244647824	low.cor	ADH7	ADH7|131
0	0.102	-0.082355625	low.cor	ADIG	ADIG|149685
0	0.033	0.093532767	low.cor	AFM	AFM|173
0	0.787	0.617426391	low.cor	AFP	AFP|174
0	0.299			AGBL1	AGBL1|123624
0	0.283			AGTR2	AGTR2|186
0	0.333	0.167228416	low.cor	AGXT	AGXT|189
0	0.081	-0.029719175	low.cor	AGXT2	AGXT2|64902
0	0.252	0.130003363	low.cor	AHSP	AHSP|51327
0	0.656	-0.045760954	low.cor	AIPL1	AIPL1|23746
0	0.355			AIRE	AIRE|326
0	0.390			AKAP14	AKAP14|158798
0	0.066			AKAP4	AKAP4|8852
0	0.179	-0.074799067	low.cor	AKR1C4	AKR1C4|1109
0	0.276			AKR1CL1	AKR1CL1|340811
0	0.372			ALAS2	ALAS2|212
0	0.297	0.182976243	low.cor	ALLC	ALLC|55821
0	0.089	0.260111486	low.cor	ALPI	ALPI|248
0	0.478	0.182978999	low.cor	ALPPL2	ALPPL2|251
0	0.125	0.052794477	low.cor	AMAC1	AMAC1|146861
0	0.308			AMAC1L3	AMAC1L3|643664
0	0.207	0.090449334	low.cor	AMBN	AMBN|258
0	0.087			AMELX	AMELX|265
0	0.000			AMELY	AMELY|266
0	0.489	0.072465647	low.cor	AMHR2	AMHR2|269
0	0.554	0.578039927	low.cor	ANKFN1	ANKFN1|162282
0	0.312	0.099753695	low.cor	ANKRD33	ANKRD33|341405
0	0.399	0.005444646	low.cor	ANKRD34C	ANKRD34C|390616
0	0.656	0.041547835	low.cor	ANKS4B	ANKS4B|257629
0	0.193	-0.222128597	low.cor	ANP32D	ANP32D|23519
0	0.183	-0.02901209	low.cor	ANXA10	ANXA10|11199
0	0.709			ANXA8L1	ANXA8L1|728113
0	0.065			AOX2P	AOX2P|344454
0	0.091	0.205233131	low.cor	APCS	APCS|325
0	0.484	-0.204943642	low.cor	APOA2	APOA2|336
0	0.029	0.21694322	low.cor	APOA4	APOA4|337
0	0.297	0.120365569	low.cor	APOA5	APOA5|116519
0	0.191	0.005374564	low.cor	APOBEC1	APOBEC1|339
0	0.191	0.043447283	low.cor	APOBEC4	APOBEC4|403314
0	0.398	0.832901219	high.cor	APOC1P1	APOC1P1|342
0	0.083	0.210716104	low.cor	APOC3	APOC3|345
0	0.404	0.53150978	low.cor	APOF	APOF|319
0	0.148	0.071588034	low.cor	APOH	APOH|350
0	0.316	0.058159894	low.cor	APOL5	APOL5|80831
0	0.196	0.109800363	low.cor	AQP10	AQP10|89872
0	0.117			AQP12A	AQP12A|375318
0	0.578			AQP12B	AQP12B|653437
0	0.067			ARGFX	ARGFX|503582
0	0.311	-0.149413366	low.cor	ARL5C	ARL5C|390790
0	0.229			ARMS2	ARMS2|387715
0	0.527	0.016398756	low.cor	ARPP21	ARPP21|10777
0	0.117			ARR3	ARR3|407
0	0.277	0.028975173	low.cor	ART1	ART1|417
0	0.079			ASAP1IT1	ASAP1IT1|29065
0	0.144	0.152385274	low.cor	ASB10	ASB10|136371
0	0.047			ASB11	ASB11|140456
0	0.081	-0.116380517	low.cor	ASB15	ASB15|142685
0	0.019	-0.164964704	low.cor	ASB17	ASB17|127247
0	0.064			ASB18	ASB18|401036
0	0.405	0.006487611	low.cor	ASB5	ASB5|140458
0	0.125	-0.025755164	low.cor	ASCL3	ASCL3|56676
0	0.257	0.074539798	low.cor	ASPDH	ASPDH|554235
0	0.371	0.308983217	low.cor	ASZ1	ASZ1|136991
0	0.066	0.350012963	low.cor	ATOH1	ATOH1|474
0	0.085			ATP1B4	ATP1B4|23439
0	0.556	0.142873379	low.cor	ATP4B	ATP4B|496
0	0.133	0.317332415	low.cor	ATP6V1G3	ATP6V1G3|127124
0	0.032			ATXN3L	ATXN3L|92552
0	0.006			ATXN8OS	ATXN8OS|6315
0	0.041	0.009855411	low.cor	AVP	AVP|551
0	0.397	0.146162821	low.cor	AVPR1B	AVPR1B|553
0	0.110			AWAT1	AWAT1|158833
0	0.196	-0.112911589	low.cor	B3GNT6	B3GNT6|192134
0	0.355			BAGE	BAGE|574
0	0.110	0.391630759	low.cor	BANF2	BANF2|140836
0	0.113	-0.023593466	low.cor	BARHL1	BARHL1|56751
0	0.621			BARHL2	BARHL2|343472
0	0.153			BASE	BASE|317716
0	0.000			BCORL2	BCORL2|286554
0	0.015			BCYRN1	BCYRN1|618
0	0.139			BEND2	BEND2|139105
0	0.472	0.036880996	low.cor	BEST2	BEST2|54831
0	0.015	0.08128977	low.cor	BEYLA	BEYLA|497634
0	0.019			BHLHE23	BHLHE23|128408
0	0.004			BIRC8	BIRC8|112401
0	0.096			BLID	BLID|414899
0	0.066	-0.003277173	low.cor	BMP10	BMP10|27302
0	0.060			BMP15	BMP15|9210
0	0.099			BPESC1	BPESC1|60467
0	0.419	-0.075516951	low.cor	BPIL2	BPIL2|254240
0	0.068	0.134863909	low.cor	BPIL3	BPIL3|128859
0	0.003			BPY2	BPY2|9083
0	0.281	0.320261862	low.cor	BRDT	BRDT|676
0	0.161			BRS3	BRS3|680
0	0.010			BSPH1	BSPH1|100131137
0	0.012			BSX	BSX|390259
0	0.476	-0.127236194	low.cor	BTBD17	BTBD17|388419
0	0.077			BTF3L1	BTF3L1|690
0	0.132	0.068056557	low.cor	BTG4	BTG4|54766
0	0.324	0.062257944	low.cor	BTNL2	BTNL2|56244
0	0.283	0.164700544	low.cor	BTNL3	BTNL3|10917
0	0.144	-0.001835939	low.cor	C10orf113	C10orf113|387638
0	0.026			C10orf120	C10orf120|399814
0	0.142	0.096185024	low.cor	C10orf122	C10orf122|387718
0	0.159			C10orf129	C10orf129|142827
0	0.263	-0.145311337	low.cor	C10orf27	C10orf27|219793
0	0.080			C10orf40	C10orf40|283025
0	0.064	-0.027547317	low.cor	C10orf53	C10orf53|282966
0	0.176	-0.026103738	low.cor	C10orf62	C10orf62|414157
0	0.080	0.091910812	low.cor	C10orf71	C10orf71|118461
0	0.042	-0.085915266	low.cor	C10orf96	C10orf96|374355
0	0.857	0.158194735	low.cor	C10orf99	C10orf99|387695
0	0.270	0.066178377	low.cor	C11orf36	C11orf36|283303
0	0.000	0.016728341	low.cor	C11orf40	C11orf40|143501
0	0.000			C11orf64	C11orf64|283197
0	0.079	-0.171523385	low.cor	C11orf94	C11orf94|143678
0	0.017	0.273695127	low.cor	C12orf12	C12orf12|196477
0	0.097			C12orf27	C12orf27|283460
0	1.017			C12orf36	C12orf36|283422
0	0.149	0.090211925	low.cor	C12orf40	C12orf40|283461
0	0.226	-0.205700767	low.cor	C12orf50	C12orf50|160419
0	0.683	0.175916773	low.cor	C12orf74	C12orf74|338809
0	0.361	0.083101057	low.cor	C12orf77	C12orf77|196415
0	0.188	0.289531787	low.cor	C13orf26	C13orf26|122046
0	0.002	-0.048202952	low.cor	C13orf28	C13orf28|122258
0	0.569	0.09845735	low.cor	C13orf30	C13orf30|144809
0	0.255			C13orf35	C13orf35|400165
0	0.352	0.231498456	low.cor	C13orf39	C13orf39|196541
0	0.141	-0.124457121	low.cor	C14orf105	C14orf105|55195
0	0.014			C14orf165	C14orf165|414767
0	0.422	0.057881773	low.cor	C14orf166B	C14orf166B|145497
0	0.023			C14orf177	C14orf177|283598
0	0.129	-0.067456361	low.cor	C14orf183	C14orf183|196913
0	0.314			C14orf23	C14orf23|387978
0	0.893	0.329789992	low.cor	C14orf39	C14orf39|317761
0	0.054			C14orf48	C14orf48|256369
0	0.014			C14orf53	C14orf53|440184
0	0.088			C14orf70	C14orf70|283601
0	0.152			C14orf86	C14orf86|283592
0	0.232	0.191794141	low.cor	C15orf2	C15orf2|23742
0	0.128	0.166281174	low.cor	C15orf32	C15orf32|145858
0	0.150	0.146101605	low.cor	C15orf43	C15orf43|145645
0	0.342			C15orf5	C15orf5|81698
0	0.204			C15orf50	C15orf50|414926
0	0.097	0.087142584	low.cor	C15orf60	C15orf60|283677
0	0.358	-0.156079855	low.cor	C16orf11	C16orf11|146325
0	0.029	-0.113427048	low.cor	C16orf78	C16orf78|123970
0	0.090			C16orf82	C16orf82|162083
0	0.472			C16orf90	C16orf90|646174
0	0.047	0.192904478	low.cor	C16orf92	C16orf92|146378
0	0.657			C17orf102	C17orf102|400591
0	0.040	-0.048546885	low.cor	C17orf105	C17orf105|284067
0	0.129			C17orf54	C17orf54|283982
0	0.053			C17orf73	C17orf73|55018
0	0.410	-0.0315711	low.cor	C17orf74	C17orf74|201243
0	1.095	0.28093093	low.cor	C17orf77	C17orf77|146723
0	0.306	-0.038860792	low.cor	C17orf78	C17orf78|284099
0	0.152	0.173738316	low.cor	C17orf98	C17orf98|388381
0	0.482			C18orf2	C18orf2|56651
0	0.063			C18orf20	C18orf20|221241
0	0.120			C18orf26	C18orf26|284254
0	0.046	-0.115056703	low.cor	C18orf62	C18orf62|284274
0	0.070			C19orf30	C19orf30|284424
0	0.267	-0.039528518	low.cor	C19orf41	C19orf41|126123
0	0.076	-0.030775791	low.cor	C19orf75	C19orf75|284369
0	0.069	0.098620991	low.cor	C1orf100	C1orf100|200159
0	0.415	0.215746656	low.cor	C1orf110	C1orf110|339512
0	0.377	-0.041288566	low.cor	C1orf14	C1orf14|81626
0	0.102			C1orf141	C1orf141|400757
0	0.061			C1orf146	C1orf146|388649
0	0.256	0.036232823	low.cor	C1orf158	C1orf158|93190
0	0.052			C1orf185	C1orf185|284546
0	0.282			C1orf189	C1orf189|388701
0	0.617	0.711174488	high.cor	C1orf230	C1orf230|284485
0	0.467	0.015102411	low.cor	C1orf49	C1orf49|84066
0	0.133	-0.230925826	low.cor	C1orf68	C1orf68|100129271
0	0.270	0.200269176	low.cor	C1orf87	C1orf87|127795
0	0.047			C1QTNF8	C1QTNF8|390664
0	0.200	-0.096222716	low.cor	C20orf144	C20orf144|128864
0	0.024	-0.139301225	low.cor	C20orf166	C20orf166|128826
0	0.075	-0.13237579	low.cor	C20orf173	C20orf173|140873
0	0.282			C20orf185	C20orf185|359710
0	0.677	0.262704174	low.cor	C20orf186	C20orf186|149954
0	0.144			C20orf191	C20orf191|149934
0	0.236			C20orf56	C20orf56|140828
0	0.220	0.156908522	low.cor	C20orf70	C20orf70|140683
0	0.005	0.201140857	low.cor	C20orf71	C20orf71|128861
0	0.000	-0.160237974	low.cor	C20orf79	C20orf79|140856
0	0.199	0.281249487	low.cor	C20orf85	C20orf85|128602
0	0.048			C21orf131	C21orf131|387486
0	0.030			C21orf54	C21orf54|728409
0	0.029			C21orf94	C21orf94|246705
0	0.188			C21orf99	C21orf99|149992
0	0.019	-0.033970736	low.cor	C22orf33	C22orf33|339669
0	0.001	-0.085895974	low.cor	C22orf42	C22orf42|150297
0	0.229			C2orf14	C2orf14|100132708
0	0.019			C2orf27B	C2orf27B|408029
0	0.456	0.118716238	low.cor	C2orf51	C2orf51|200523
0	0.032	0.173138005	low.cor	C2orf53	C2orf53|339779
0	0.127	0.072465647	low.cor	C2orf57	C2orf57|165100
0	0.161			C2orf78	C2orf78|388960
0	0.109	-0.093088627	low.cor	C2orf80	C2orf80|389073
0	0.073	-0.076398021	low.cor	C2orf83	C2orf83|56918
0	0.212	0.156922479	low.cor	C3orf16	C3orf16|389161
0	0.111	0.008555872	low.cor	C3orf22	C3orf22|152065
0	0.069	0.084521649	low.cor	C3orf27	C3orf27|23434
0	0.619	-0.017547628	low.cor	C3orf30	C3orf30|152405
0	0.331			C3orf49	C3orf49|132200
0	0.289			C3orf50	C3orf50|93556
0	0.093			C3orf51	C3orf51|711
0	0.203			C3orf65	C3orf65|646600
0	0.402			C3orf66	C3orf66|677779
0	0.025			C3orf77	C3orf77|375337
0	0.052	0.009537382	low.cor	C3orf79	C3orf79|152118
0	0.043			C3P1	C3P1|388503
0	0.012			C4orf11	C4orf11|439934
0	0.086	-0.059556272	low.cor	C4orf17	C4orf17|84103
0	0.125	0.257926487	low.cor	C4orf22	C4orf22|255119
0	0.049	-0.021545314	low.cor	C4orf35	C4orf35|85438
0	0.361	0.371815649	low.cor	C4orf37	C4orf37|285555
0	0.152	-0.121318021	low.cor	C4orf45	C4orf45|152940
0	0.794			C4orf51	C4orf51|646603
0	0.033	-0.141902926	low.cor	C5orf48	C5orf48|389320
0	0.040			C5orf52	C5orf52|100190949
0	0.377			C5orf60	C5orf60|285679
0	0.102	-0.181833102	low.cor	C6orf10	C6orf10|10665
0	0.204	-0.151607467	low.cor	C6orf103	C6orf103|79747
0	0.648	0.288473692	low.cor	C6orf118	C6orf118|168090
0	0.067	0.241444128	low.cor	C6orf146	C6orf146|222826
0	0.292			C6orf191	C6orf191|253582
0	0.208	0.122362324	low.cor	C6orf221	C6orf221|154288
0	0.408	0.388505093	low.cor	C6orf58	C6orf58|352999
0	0.309	0.076364679	low.cor	C6orf94	C6orf94|153918
0	0.361	-0.084375064	low.cor	C7orf16	C7orf16|10842
0	0.472	0.163153202	low.cor	C7orf33	C7orf33|202865
0	0.374	0.107824101	low.cor	C7orf34	C7orf34|135927
0	0.347	0.001188879	low.cor	C7orf45	C7orf45|136263
0	0.018			C7orf66	C7orf66|154907
0	0.302	-0.191135751	low.cor	C7orf69	C7orf69|80099
0	0.180	0.199215587	low.cor	C7orf71	C7orf71|285941
0	0.132			C7orf72	C7orf72|100130988
0	0.098	-0.204030709	low.cor	C8A	C8A|731
0	0.317	0.071840761	low.cor	C8B	C8B|732
0	0.102			C8orf12	C8orf12|83656
0	0.478	-0.017040851	low.cor	C8orf22	C8orf22|492307
0	0.062			C8orf71	C8orf71|26138
0	0.032	0.052048224	low.cor	C8orf74	C8orf74|203076
0	0.446			C8orf75	C8orf75|619351
0	0.455			C8orf86	C8orf86|389649
0	0.276	-0.159573286	low.cor	C9	C9|735
0	0.592	0.262318746	low.cor	C9orf135	C9orf135|138255
0	0.212	-0.159061447	low.cor	C9orf144	C9orf144|389715
0	0.289			C9orf171	C9orf171|389799
0	0.010			C9orf27	C9orf27|58483
0	0.624	0.143410413	low.cor	C9orf4	C9orf4|23732
0	0.022	0.003368849	low.cor	C9orf57	C9orf57|138240
0	0.055	-0.075147511	low.cor	C9orf71	C9orf71|169693
0	0.059	0.203526057	low.cor	C9orf79	C9orf79|286234
0	0.417	0.151674742	low.cor	CA1	CA1|759
0	0.678	0.230490018	low.cor	CA10	CA10|56934
0	0.146	0.043707058	low.cor	CA5A	CA5A|763
0	0.444	0.067798807	low.cor	CA7	CA7|766
0	0.036	0.176856638	low.cor	CABP2	CABP2|51475
0	0.026	0.026019811	low.cor	CABP5	CABP5|56344
0	0.275	-0.025084262	low.cor	CACNA1S	CACNA1S|779
0	0.156	-0.205050239	low.cor	CACNG2	CACNG2|10369
0	0.212	-0.195005753	low.cor	CACNG3	CACNG3|10368
0	0.190	0.18459943	low.cor	CACNG5	CACNG5|27091
0	0.150	-0.079984444	low.cor	CACNG7	CACNG7|59284
