Gene;GeneEntrezID.combi;MetagCluster17;EntrezID;TCGA-A1-A0SK-01;TCGA-AC-A2BK-01;TCGA-A7-A5ZV-01;TCGA-AQ-A54N-01;TCGA-AC-A2QJ-01;TCGA-AC-A2QH-01;TCGA-A2-A04U-01;TCGA-B6-A0I1-01;TCGA-A2-A4S1-01;TCGA-AC-A7VC-01;TCGA-AN-A0FL-01;TCGA-A1-A0SO-01;TCGA-AN-A04D-01;TCGA-A2-A3XU-01;TCGA-AN-A0AR-01;TCGA-AC-A62X-01;TCGA-AN-A0FJ-01;TCGA-A8-A07C-01;TCGA-A1-A0SB-01;TCGA-A7-A13E-01;TCGA-AO-A1KR-01;TCGA-B6-A0X1-01;TCGA-AN-A0G0-01;TCGA-AR-A1AH-01;TCGA-AR-A251-01;TCGA-B6-A0IQ-01;TCGA-AR-A0TP-01;TCGA-A1-A0SP-01;TCGA-A7-A0CE-01;TCGA-A2-A0YE-01;TCGA-AR-A256-01;TCGA-AO-A0J6-01;TCGA-A2-A0D0-01;TCGA-AO-A124-01;TCGA-A8-A07R-01;TCGA-AO-A128-01;TCGA-AN-A0XU-01;TCGA-A8-A07O-01;TCGA-B6-A0WX-01;TCGA-A2-A04P-01;TCGA-B6-A402-01;TCGA-AO-A0J2-01;TCGA-A2-A3XT-01;TCGA-AR-A0U0-01;TCGA-AR-A2LR-01;TCGA-AO-A12F-01;TCGA-A7-A6VW-01;TCGA-AN-A0AL-01;TCGA-AO-A03U-01;TCGA-A7-A26G-01;TCGA-BH-A0B9-01;TCGA-A2-A0T2-01;TCGA-A2-A4RX-01;TCGA-BH-A0BW-01;TCGA-B6-A0I6-01;TCGA-A2-A04T-01;TCGA-AC-A6IW-01;TCGA-AN-A0AT-01;TCGA-A2-A0T0-01;TCGA-A2-A0YM-01;TCGA-A7-A0DA-01;TCGA-AR-A1AI-01;TCGA-A7-A26I-01;TCGA-A2-A0CL-01;TCGA-A2-A0EQ-01;TCGA-EW-A1OV-01;TCGA-GM-A2DH-01;TCGA-A2-A3Y0-01;TCGA-A7-A4SE-01;TCGA-AN-A0FX-01;TCGA-B6-A0RU-01;TCGA-A7-A13D-01;TCGA-B6-A0RE-01;TCGA-A7-A6VV-01;TCGA-AR-A1AY-01;TCGA-BH-A0AV-01;TCGA-AR-A0U4-01;TCGA-A2-A3XS-01;TCGA-A2-A3XX-01;TCGA-AC-A8OQ-01;TCGA-B6-A409-01;TCGA-B6-A400-01;TCGA-A2-A3XY-01;TCGA-LL-A5YP-01;TCGA-OL-A5S0-01;TCGA-E9-A1NC-01;TCGA-A2-A0CM-01;TCGA-S3-AA10-01;TCGA-A7-A4SD-01;TCGA-B6-A3ZX-01;TCGA-AR-A1AQ-01;TCGA-A2-A0D2-01;TCGA-A7-A6VY-01;TCGA-BH-A0B3-01;TCGA-AO-A129-01;TCGA-E2-A573-01;TCGA-E9-A3QA-01;TCGA-B6-A0IJ-01;TCGA-A2-A04Q-01;TCGA-C8-A12V-01;TCGA-C8-A12K-01;TCGA-A2-A0SX-01;TCGA-A2-A25F-01;TCGA-A8-A07U-01;TCGA-AR-A1AJ-01;TCGA-B6-A0RT-01;TCGA-AR-A1AR-01;TCGA-BH-A1F0-01;TCGA-AR-A1AO-01;TCGA-EW-A1P1-01;TCGA-AQ-A04J-01;TCGA-BH-A0BL-01;TCGA-E2-A1AZ-01;TCGA-AR-A0TS-01;TCGA-AR-A24Q-01;TCGA-A8-A08R-01;TCGA-AO-A0J4-01;TCGA-BH-A0WA-01;TCGA-EW-A1OW-01;TCGA-BH-A0BG-01;TCGA-BH-A208-01;TCGA-D8-A27M-01;TCGA-EW-A3U0-01;TCGA-EW-A1P7-01;TCGA-LL-A441-01;TCGA-S3-AA15-01;TCGA-PL-A8LZ-01;TCGA-BH-A0RX-01;TCGA-EW-A6SB-01;TCGA-D8-A1JL-01;TCGA-BH-A18Q-01;TCGA-D8-A27F-01;TCGA-BH-A1FC-01;TCGA-GI-A2C9-01;TCGA-E2-A14X-01;TCGA-E2-A1LH-01;TCGA-GM-A2DF-01;TCGA-D8-A27H-01;TCGA-LL-A73Y-01;TCGA-BH-A18T-01;TCGA-GM-A3XL-01;TCGA-EW-A1P8-01;TCGA-BH-A1F6-01;TCGA-OL-A66I-01;TCGA-E9-A244-01;TCGA-E9-A1ND-01;TCGA-D8-A1XQ-01;TCGA-E2-A1LI-01;TCGA-BH-A18V-01;TCGA-D8-A147-01;TCGA-C8-A134-01;TCGA-D8-A142-01;TCGA-BH-A18G-01;TCGA-A7-A26F-01;TCGA-D8-A13Z-01;TCGA-E2-A159-01;TCGA-D8-A143-01;TCGA-C8-A27B-01;TCGA-D8-A1JF-01;TCGA-A8-A09X-01;TCGA-AC-A5EH-01;TCGA-C8-A131-01;TCGA-C8-A26X-01;TCGA-D8-A1JK-01;TCGA-GM-A2DD-01;TCGA-JL-A3YW-01;TCGA-LL-A740-01;TCGA-LL-A5YO-01;TCGA-BH-A0E6-01;TCGA-AR-A0TU-01;TCGA-E2-A14N-01;TCGA-E2-A150-01;TCGA-BH-A203-01;TCGA-E2-A1II-01;TCGA-E2-A1B6-01;TCGA-D8-A1XW-01;TCGA-E9-A243-01;TCGA-BH-A18V-06;TCGA-D8-A1XK-01;TCGA-EW-A1PH-01;TCGA-LL-A6FR-01;TCGA-OL-A5D7-01;TCGA-E2-A14R-01;TCGA-BH-A6R9-01;TCGA-GM-A2DB-01;TCGA-EW-A1PB-01;TCGA-OL-A6VO-01;TCGA-E9-A248-01;TCGA-PL-A8LV-01;TCGA-OL-A5RW-01;TCGA-EW-A1P4-01;TCGA-E9-A1N8-01;TCGA-AR-A5QQ-01;TCGA-E2-A1LL-01;TCGA-E9-A22G-01;TCGA-BH-A0E0-01;TCGA-C8-A1HJ-01;TCGA-LL-A8F5-01;TCGA-C8-A26Y-01;TCGA-E9-A1RH-01;TCGA-E2-A1LK-01;TCGA-E2-A574-01;TCGA-HN-A2NL-01;TCGA-E2-A158-01;TCGA-E2-A1LS-01;TCGA-E9-A5FL-01;TCGA-BH-A1FE-06;TCGA-E2-A1LG-01
HIST1H2BD;HIST1H2BD|3017;Histone;3017;7.6246;8.145;8.965;8.9932;8.1469;7.9074;9.754;9.0095;5.1307;6.3931;10.9113;6.674;6.9933;7.1522;8.1337;8.9831;8.2655;8.4608;4.9627;7.0029;6.7281;9.7981;6.2262;8.6706;9.8192;8.4243;7.9973;6.8202;7.4754;9.1478;8.0462;8.7505;7.0441;9.5737;7.6885;7.8943;7.092;8.1733;9.6016;10.7182;7.734;9.9707;8.1007;8.6176;5.2985;10.0041;8.1216;8.7269;6.8923;6.9598;5.8152;8.9973;7.3029;9.353;8.368;9.5011;9.2358;8.0934;8.4333;7.9717;7.9186;8.8212;8.2709;7.0747;8.4496;7.4209;7.2723;7.7399;6.1457;8.7311;8.2139;6.6572;8.5665;10.1926;7.3457;7.9094;9.2233;8.4633;7.0548;9.4348;7.9874;9.5618;8.432;8.8578;10.4137;9.2586;8.3174;9.1818;8.4233;7.5297;7.9016;6.5793;8.4239;10.105;9.0371;7.5747;8.3968;8.6106;7.6411;10.6213;9.969;6.5954;6.3552;9.2698;7.3526;7.9111;7.8085;8.8964;7.9276;6.421;8.9227;6.4076;7.47;9.1927;9.1793;8.4391;8.5139;9.0165;8.4167;9.4044;6.4691;6.7066;9.2715;5.9213;9.8031;7.637;8.5543;8.7161;10.8455;7.9161;8.9828;9.7953;9.8713;8.7774;8.0788;10.416;9.8188;9.4585;6.2108;9.5342;7.7383;7.9266;6.8169;9.3386;9.607;7.5462;9.4699;10.0716;7.9709;8.397;8.9844;7.6775;9.3029;6.8397;8.9753;7.5141;7.2401;11.1146;8.6138;9.8441;8.921;9.5887;8.4853;8.1131;8.7365;6.7305;9.4274;8.0607;6.9638;8.3034;8.2495;7.102;9.7648;6.4347;8.2741;8.3274;8.1275;9.2198;5.7316;8.0224;8.8551;8.1612;8.4435;6.074;8.5463;8.245;9.3791;7.128;9.0223;10.4792;8.9968;7.2635;9.0768;5.7072;9.2428;8.8939;7.257;7.9395;9.7728;7.9473;6.7126;6.9725;5.9215;7.1518;9.9068;10.556;7.404;9.0702
HIST2H2BE;HIST2H2BE|8349;Histone;8349;9.0699;10.4237;11.0119;9.052;7.5793;6.5056;7.5825;11.0518;9.6605;7.0251;12.7754;7.0749;8.2129;6.9495;8.2007;10.1247;8.8996;8.7517;7.7721;8.2509;7.7167;9.5777;6.7857;9.4764;9.9052;9.5736;10.03;8.3164;7.7385;8.9005;9.142;8.7599;6.3527;8.8273;7.4117;10.0534;8.7366;10.5139;9.0694;10.8452;9.7959;11.8291;7.1952;10.5333;6.9466;11.841;6.8748;8.9663;8.3145;8.4784;6.2776;9.9374;9.6278;11.0843;9.7868;11.3625;9.7159;7.2835;8.6986;9.7882;10.6508;9.0781;11.6301;7.1669;9.6999;7.4473;8.5939;8.8892;8.3511;10.1419;10.8256;9.6195;9.5191;11.9616;8.5508;8.5918;9.4822;9.3917;10.8957;11.2438;10.1394;11.7209;9.2438;12.512;10.0818;8.3846;9.833;8.4608;10.0562;9.1477;9.3346;8.5453;10.5087;11.0825;10.2128;9.4362;8.8884;10.7195;10.8368;11.1838;10.2567;7.9408;7.9115;11.0971;9.7247;8.0817;9.693;9.7268;9.134;8.3646;10.4426;10.2478;9.4882;11.3189;10.5479;9.7331;11.5593;10.8766;8.5974;11.0399;7.4892;8.8418;11.5255;7.3799;11.4067;8.5493;10.14;8.1048;10.2575;8.7694;10.4093;10.2864;9.2933;8.2007;9.3686;9.9863;8.7806;9.3301;8.7085;8.8298;8.9811;8.5067;9.0082;10.8281;9.9444;10.6463;11.1099;11.2801;9.0389;9.5789;9.7874;9.4655;10.5873;9.1503;8.3828;8.2892;8.4503;11.9154;9.8476;8.6139;10.688;10.8641;9.4703;10.1808;8.5216;9.1004;10.8577;8.1529;7.9635;8.2028;8.6628;8.6249;12.4734;6.3543;10.536;10.8736;9.3453;9.1992;6.6687;10.779;9.6595;8.6456;10.8868;6.2072;9.1184;8.6768;10.1772;8.4269;10.2943;8.5003;9.1779;8.4099;9.0047;9.9839;10.0089;10.4843;9.0718;10.1961;10.6187;10.4724;10.618;6.1864;7.0044;10.1021;11.1207;9.7571;8.6626;9.2286
HIST2H2BF;HIST2H2BF|440689;Histone;440689;5.4798;5.9767;6.2886;4.7378;5.0825;3.4453;3.7516;7.2739;4.6336;3.1886;7.5225;3.3691;4.8072;4.0655;5.1425;4.3735;5.873;4.6189;5.0633;5.2996;5.1062;6.3932;3.8966;6.301;6.2022;5.94;5.0104;4.5967;4.2002;5.5159;6.7213;5.2679;2.7583;5.4673;4.4747;6.4397;5.1556;7.5647;5.6411;7.3375;6.0717;7.4234;4.9944;7.1308;4.6204;7.79;4.317;4.5511;6.6982;6.8923;5.0165;7.5043;5.1814;7.3125;5.5517;5.5893;6.3599;4.9038;4.3925;5.1536;6.081;6.1201;7.678;4.6181;5.3793;4.0723;3.5923;6.7057;4.4322;5.8948;6.1382;6.1951;5.5842;8.1882;5.3355;5.1334;5.3863;4.6579;6.2677;8.2123;6.3512;7.7384;4.9208;7.6548;5.4967;4.4214;6.2538;5.3586;6.0043;5.2316;5.8608;4.0689;5.636;6.9053;6.0391;4.327;5.096;6.0134;6.3291;7.9504;6.159;4.7786;4.222;7.0633;6.5926;5.5589;6.0794;5.9533;5.439;5.091;5.8525;6.0323;6.8395;6.9786;6.2596;5.6575;8.0152;6.2211;5.1825;6.4825;4.454;5.7976;6.9451;4.9211;7.9591;5.5815;6.5015;4.5926;6.4087;5.6431;6.7641;6.9426;4.8267;5.4266;5.3714;4.9941;4.7922;6.6866;5.2152;7.578;5.0258;5.3879;4.641;6.8025;5.873;6.5413;6.6687;7.1195;6.7928;6.4191;6.2534;5.2962;6.0444;5.6991;4.1396;4.4642;4.8108;7.1373;7.2249;6.3153;6.135;8.2899;5.2838;5.6484;6.568;6.9727;7.3101;4.3417;5.9943;4.5537;4.2058;4.7219;9.1345;4.3739;5.986;7.4089;6.5332;6.766;3.3539;6.6364;4.5462;4.8647;6.4974;5.1038;6.6357;5.5096;5.3717;6.2653;6.0105;6.3251;5.3959;5.0969;4.576;5.4274;4.4891;7.2209;4.7174;5.6147;5.7437;5.8441;6.8875;3.0217;3.427;5.9635;6.3286;7.6759;7.5927;5.8679
HIST1H2AG;HIST1H2AG|8969;Histone;8969;3.4289;4.7668;4.9141;2.1434;3.3778;2.9251;4.1396;1.1974;1.8288;2.976;2.487;3.9125;2.0591;0.4821;3.5184;2.4803;4.6094;2.3189;0.5366;2.8029;1.878;5.1393;1.4639;3.2303;3.3133;2.2926;3.6116;2.9197;2.6053;4.3677;4.3173;3.2366;3.3886;5.1322;2.2021;2.0896;2.3604;4.2884;1.3316;3.5076;2.0909;5.9336;4.3495;5.1474;1.9683;2.6881;2.9;2.5437;2.0185;0.865;1.2287;4.0917;3.3857;4.2797;3.9746;4.7216;3.7563;4.0502;2.5643;0.9134;2.5898;2.6101;3.454;3.1944;3.7027;2.2302;0.6055;4.1494;0.6659;3.0032;4.8944;1.9424;2.8427;5.564;3.0615;2.9478;2.3568;1.5704;3.4514;4.8067;3.6377;5.2877;3.2762;4.9037;2.0149;1.7512;3.2184;3.9104;3.1635;3.2093;2.2065;1.8429;3.9886;5.1044;2.9191;2.8221;4.1815;3.3575;2.3902;4.9163;3.5602;2.3715;2.4946;3.2925;3.5164;3.1093;3.3071;2.767;3.2543;2.6019;3.9924;2.6246;0.8075;6.5085;3.3255;3.2113;5.0159;5.0952;3.6459;3.694;0.5219;2.1331;6.4431;2.1081;4.0656;2.551;3.4359;2.2698;2.588;2.6731;3.8208;5.5133;4.2662;2.2245;2.5219;3.4637;3.4647;2.6955;1.9665;3.4029;3.5522;2.6727;3.0129;4.5821;3.4331;3.2473;3.7342;5.051;4.4732;3.5107;4.3414;1.6438;0;1.4166;3.385;2.6685;2.139;6.3969;5.2409;3.4509;4.4064;3.4733;2.8015;3.4602;2.5655;2.8327;0.4892;3.8296;2.915;3.6533;3.0264;2.0832;4.8914;1.6255;3.2782;4.1823;1.6325;5.8117;1.6655;3.8408;1.5202;4.492;3.6397;2.2217;3.3145;3.0743;3.9485;3.8021;3.1331;2.706;5.2268;3.4415;3.0792;4.4792;2.7219;3.5812;0;4.1097;6.094;4.1547;2.6513;2.3011;2.0235;2.4477;0.5854;3.1296;2.2829;3.9191
HIST1H2AM;HIST1H2AM|8336;Histone;8336;2.5179;4.9718;4.8202;2.6935;3.7367;2.7593;3.5742;1.1974;3.2492;1.1692;6.4528;3.9634;1.724;3.4488;4.166;5.047;4.5734;2.9846;0.9268;1.9961;3.7049;4.1133;1.1193;3.6711;3.7526;3.5967;4.0185;3.4397;2.6053;4.2284;2.3624;2.6694;1.6132;6.383;1.888;3.6938;3.7071;3.0316;2.2607;6.0294;1.3951;6.7794;2.8001;4.2776;3.2838;4.171;2.4899;3.2409;0.6873;1.0671;2.0478;4.9059;2.8681;4.4596;3.6961;5.2023;4.1703;3.2702;4.0065;3.8916;2.3266;3.0854;3.7193;2.2346;3.0084;2.0582;4.1233;4.8203;0.6659;3.2162;5.2972;2.6509;3.1238;6.6379;2.7821;3.9485;3.0972;4.3941;5.0237;5.1017;5.999;4.2595;3.8507;6.3158;4.852;3.1773;4.1387;3.0411;3.9002;2.5727;3.29;2.4424;3.634;5.2424;5.3764;4.6335;4.0788;3.9612;2.7623;5.6458;5.2129;0.9734;2.0322;3.5605;4.2902;3.6375;2.9398;2.519;3.2038;2.8248;4.0488;2.8236;1.3222;6.661;3.283;3.8846;4.7413;4.0351;2.8558;4.1421;1.8539;1.158;7.0861;1.9625;5.6654;2.3931;4.0333;3.5251;4.9865;3.016;2.9593;5.6673;4.6341;2.7392;4.2834;4.5473;5.7739;3.3077;1.6696;3.4029;3.4184;2.5893;2.6291;5.1887;4.169;3.9062;3.9093;6.3545;3.4519;3.6328;3.6364;1.5156;3.2854;1.2816;3.2276;2.8221;3.8697;5.6156;3.6548;4.2948;3.0019;6.0541;4.6373;4.7144;5.562;3.9116;5.5676;4.3417;4.7388;4.0845;3.3759;3.5263;5.6052;1.8508;4.2193;5.4206;3.3028;5.2432;2.1795;4.0747;3.8154;4.2234;3.7907;0.8594;5.4918;2.6974;3.7824;3.4641;3.2064;4.0061;4.1461;4.6138;3.515;3.8322;1.166;4.829;5.7038;5.2771;4.7221;4.6316;4.3061;3.5438;1.7589;1.9037;2.9081;5.4474;1.2666;4.1858
HIST1H2BF;HIST1H2BF|8343;Histone;8343;1.365;3.0064;0;0;2.1773;0.8674;2.6312;1.3877;0.8881;1.1692;2.897;0.6236;1.4476;0;1.6617;3.2845;3.8284;1.3761;0;1.4373;1.2252;2.6861;0.3708;2.329;5.148;2.6778;1.2917;0.4487;1.0122;3.1051;1.4726;1.0153;2.2347;4.2289;1.3223;1.7834;1.4451;2.6049;2.568;3.217;1.7845;3.9834;1.6266;3.3776;0.9789;3.6904;0.9437;2.2089;1.3367;0.865;0.5339;3.7046;0.705;3.5914;2.8033;2.5529;1.6986;1.8458;0;2.2716;4.706;3.1967;2.1109;1.0785;2.7662;0.6111;0.6055;2.3046;0.6659;3.2649;3.1955;1.3923;0.4707;5.9512;2.3339;0;0.426;1.5704;2.6968;4.2473;0.9664;3.7009;1.962;2.5784;2.0149;0.961;3.7507;2.1384;2.9007;0;1.0237;1.0765;2.3648;3.3525;2.1619;2.5036;1.1679;2.3797;1.7285;3.8462;2.4923;0.9734;0.5994;3.3503;2.7659;1.5398;0.8003;1.7509;1.8593;0;2.677;0.6852;2.8077;4.7122;3.2392;2.3156;4.0036;3.6974;1.2867;3.1971;2.0181;0.9438;5.6515;1.8005;3.5875;1.497;1.4373;1.7609;3.5425;1.5635;3.8634;3.9145;3.2967;2.6652;3.4575;2.031;2.4642;3.1497;1.0639;3.2296;2.041;1.0533;0.9583;4.1787;2.0932;1.5845;1.718;3.7355;1.4099;1.7433;1.6405;1.7615;2.858;2.1175;2.7945;2.4022;2.139;3.8909;3.2336;2.4734;3.0743;4.0356;1.5046;2.2666;1.5694;3.1579;4.0656;1.6794;1.2642;1.5252;2.1934;1.3889;4.3219;2.0455;2.9436;5.0662;1.9262;4.06;1.2374;2.8327;0.6985;3.1119;1.7193;0.4928;3.6928;2.0797;1.4217;1.8439;3.8339;2.0049;2.143;0.5555;1.5787;3.5777;2.8519;2.3966;3.1784;3.0609;4.5253;2.6763;1.1202;1.4241;1.0157;1.4402;4.1306;1.8416;1.6365;2.2282
HIST1H2AE;HIST1H2AE|3012;Histone;3012;4.9514;6.3389;5.4625;6.5852;6.0737;3.5506;7.2595;7.7635;6.3989;4.5143;8.6973;4.4827;3.8324;3.094;6.7516;6.8673;6.1422;3.7262;3.1141;5.8314;5.0779;7.1139;3.0579;5.3544;7.5359;5.8199;7.5448;4.1225;3.3439;5.638;4.4206;5.7233;5.1703;7.5051;5.4956;4.4346;3.6686;6.5454;5.2965;7.9805;5.9476;9.7368;5.3029;6.2055;4.6317;7.7347;5.1736;6.5483;5.0462;2.9205;2.6206;8.2697;4.9062;7.1732;6.9945;8.4213;6.0819;5.794;5.6002;5.2067;6.0932;4.7108;6.1382;3.6427;6.6508;3.879;2.5093;7.0481;1.9756;7.7006;7.8154;4.2383;5.5987;8.5686;6.1533;4.4696;5.3154;5.6696;8.0248;7.4476;8.2283;7.9968;5.8871;7.3312;7.9999;5.4145;7.455;4.9437;6.3852;5.0446;5.2936;4.7872;5.4672;7.5631;7.0176;7.2198;6.5288;6.6471;5.9254;8.2379;8.4858;2.8281;2.8441;7.0419;6.299;5.9625;4.1342;4.1864;5.9102;2.9245;6.8955;3.6842;4.883;5.3557;6.2719;6.6282;7.8192;7.602;5.8122;7.2072;4.3955;3.7013;9.9941;3.991;7.3418;5.1302;4.0333;6.8117;7.7751;5.2164;6.7851;7.7584;7.7884;6.2505;7.1477;7.1677;8.6296;6.7525;3.4827;5.5936;6.7863;5.2851;6.0763;8.751;6.1546;6.7135;6.8007;8.7635;5.1074;4.6525;4.9377;4.6688;6.9629;4.2212;5.9352;5.5786;4.6775;8.9471;8.6486;6.3744;6.0478;7.022;6.0393;7.0025;7.0482;5.5131;10.1232;7.1718;7.1557;5.8957;3.8027;3.7597;8.3124;3.3764;7.5849;7.7561;5.2162;7.2966;2.4896;7.8072;8.2698;6.6495;6.4235;2.5573;7.9575;4.9245;7.3021;5.4399;8.1406;7.6503;6.8911;5.8655;6.2387;6.0204;7.016;7.7798;5.2255;8.2566;8.4145;7.1577;6.9296;3.9626;4.1994;5.0833;8.1689;7.572;4.2689;6.2584
HIST1H2BG;HIST1H2BG|8339;Histone;8339;4.547;5.6232;4.4113;3.7338;4.2633;3.4453;5.4291;5.5012;4.0281;2.8567;6.7653;3.9634;3.3525;2.5263;4.4058;5.859;5.344;3.8377;2.3376;4.3676;3.5487;5.8047;2.1755;4.9782;7.7864;5.426;4.6994;3.1741;2.6053;5.1513;3.8979;4.629;3.4978;6.4316;4.5734;4.6369;3.5463;5.5284;5.1806;6.401;5.4658;8.4408;3.5892;6.2873;5.1287;6.4217;3.0683;4.7638;4.4631;4.6334;1.6956;6.6878;4.171;5.9234;5.9152;6.6554;5.4697;4.3238;5.3333;4.9965;5.4319;5.059;6.1607;2.7136;5.9526;2.9739;1.851;4.9639;0.6659;7.1202;5.9299;4.9757;4.2287;7.7655;5.2932;3.0682;4.6266;4.1757;6.8557;6.9576;6.3756;6.6931;5.2821;6.4635;5.8268;4.7816;6.3696;5.4156;4.6935;4.401;4.9996;2.7102;4.3966;6.4042;5.7624;5.3635;3.9682;5.1373;4.6608;7.2465;6.2988;2.953;3.3605;5.9678;5.864;5.007;3.7661;4.7562;5.1496;1.0102;5.7205;3.7179;5.5702;5.0048;5.6496;5.8635;7.2447;6.8184;4.6979;5.6804;3.7695;3.4803;9.1455;3.556;6.7087;5.5222;4.0333;4.7443;7.1042;3.525;6.972;7.1613;7.128;4.9875;6.8085;4.287;5.8259;6.2476;3.3857;5.9059;5.6582;2.5893;4.4426;7.1962;5.4741;5.9181;5.9333;7.3484;4.2401;6.0893;4.9477;4.1266;5.2432;4.8293;5.0613;5.1557;4.0453;7.404;7.493;5.2885;5.6459;6.2942;6.5371;5.8265;6.8097;4.9991;8.9051;5.7661;4.4916;4.7539;3.1034;3.5263;8.8762;2.509;6.0766;8.1599;5.1226;5.5948;2.685;6.914;5.1139;5.2031;5.3211;0.8594;6.74;4.2776;5.6639;5.102;5.804;6.5221;4.9888;5.3044;5.2577;4.978;5.4969;6.7419;5.5825;5.6226;7.0637;6.4103;5.247;3.2353;3.0274;3.5391;5.2682;6.2344;3.8079;4.8245
HIST1H3D;HIST1H3D|8351;Histone;8351;4.0531;5.6086;5.4036;4.3354;6.6641;3.7791;6.5924;4.1082;5.7252;4.391;6.9435;3.0053;2.37;3.2197;5.069;7.9824;4.7405;2.5856;0.5366;2.8395;3.4284;6.2314;2.0787;4.0952;8.6743;4.1136;3.4336;3.1741;2.4139;5.389;2.9041;3.6677;3.2062;5.9395;2.9418;5.1976;2.5421;4.339;5.1075;6.6446;3.9823;7.4287;3.9807;6.8231;2.137;5.5149;4.2832;5.2023;2.3124;2.3556;2.3731;7.2456;3.8131;6.2307;4.5571;5.636;5.2506;4.9456;5.0728;5.0463;4.3046;5.1088;4.8986;2.6211;3.8708;3.5512;1.851;6.6792;2.1535;5.4254;5.5296;3.8338;4.8396;7.6781;3.7106;3.0455;4.3005;4.2522;6.4802;5.8584;7.7047;6.0395;4.9036;6.5622;6.4719;4.4407;4.7099;5.8662;4.8143;4.96;4.0806;2.1132;4.8279;6.7745;5.1759;5.3335;6.0921;5.4719;3.8054;6.0875;6.8076;2.3715;2.3016;4.3323;4.7641;4.4446;3.6359;4.7589;5.2265;0;4.2111;2.6046;2.7557;6.9871;5.3398;4.7718;6.3777;5.8486;3.8517;5.2142;3.6539;3.199;7.2289;2.9931;6.7123;4.9178;5.3674;4.1082;7.0398;3.9022;5.6104;7.0934;5.264;4.8723;4.7605;7.1228;7.1927;5.9894;1.8257;5.3996;5.0047;3.5102;4.3878;7.5639;5.3224;4.6028;4.523;7.4367;3.8;5.1553;5.2301;3.8625;4.2752;4.2224;4.0808;3.6902;2.4359;6.89;6.3523;5.3956;5.9532;6.8814;5.8218;4.9603;6.429;5.9401;7.2147;5.3589;4.8788;5.2557;4.5445;3.5912;7.5558;1.8508;6.159;6.8853;4.8284;4.8372;2.4819;5.1682;5.8909;5.5612;4.4013;2.048;5.3761;4.8802;6.2286;4.5093;4.8263;7.1465;6.1938;4.8666;6.1465;5.9308;5.082;5.6643;3.7823;4.0652;7.5061;5.6877;4.2246;2.8002;1.8325;1.7652;5.7742;6.3816;4.5851;4.1649
HIST1H2AC;HIST1H2AC|8334;Histone;8334;9.816;11.0731;10.3038;9.1191;10.4862;8.4535;11.207;10.6401;10.0902;7.8267;12.3901;8.1528;7.5514;9.0045;9.6226;12.3945;9.3691;10.7931;7.0106;9.2566;8.1495;11.0004;6.7741;10.2861;12.9149;9.3264;9.9672;8.1577;8.6561;9.3946;8.9949;9.5911;7.6404;10.2902;8.1529;10.6048;8.0231;10.618;11.2026;10.7039;10.5723;11.8072;9.0822;12.8743;10.1894;10.3535;8.9847;8.8364;8.7267;9.8809;7.8075;11.4749;9.7553;10.469;9.6256;10.4675;10.5411;8.8507;9.7445;9.7289;11.3067;10.1246;10.3373;8.8704;10.1193;8.5627;8.5555;10.9223;8.7096;11.9706;11.0797;9.7423;10.3487;11.8672;9.0905;8.9793;10.0202;9.7251;10.6486;10.8371;11.691;10.6971;9.5154;11.5525;11.3967;9.9557;10.9083;10.3949;10.5368;9.8292;9.0609;8.3564;10.0618;10.5409;10.1465;10.7721;9.885;11.1267;10.5404;11.6487;11.6999;8.1213;9.2121;10.914;9.8197;9.6872;10.2564;10.3247;10.2901;8.698;10.7594;8.698;8.7051;11.6323;11.5329;10.466;11.3813;11.641;9.732;11.1359;8.6771;8.9291;12.4786;8.8364;11.6287;9.1738;9.9809;9.7452;12.5147;9.3296;11.2696;11.6631;10.1001;10.391;10.8269;10.7723;10.5347;10.1567;8.4452;9.9641;9.2678;9.2644;9.6719;12.2287;11.0934;11.1379;10.4504;12.3794;9.66;11.2215;10.0334;9.4232;9.8568;10.0372;9.6587;8.6321;7.3277;13.2343;12.0404;9.6689;9.1137;11.2084;10.1521;9.5789;10.1161;8.5642;10.7339;10.9829;9.1576;9.5872;10.1425;9.2267;11.6598;7.7003;11.1232;11.8252;10.5842;10.006;7.826;11.6723;11.6654;9.5982;9.7106;7.902;8.7698;9.9776;11.4584;9.4323;10.8333;11.6676;11.2014;9.4008;10.7968;7.9204;10.7975;10.2196;9.7273;10.0764;11.8987;9.9401;9.7046;8.6559;7.7338;8.9559;12.6403;9.6288;10.0175;10.3681
