Figure_sort	TNBCmetagene_RNA-Seq	EntrezID	Gene	probeset	TNBCmetagene_Affy	Correl_PMID_25412710	CorClass_PMID_25412710
1	Claudin	1365	CLDN3	203954_x_at	Claudin-CD24	0.844373866	high.cor
2	Claudin	23779	ARHGAP8				
3	Claudin	553158	PRR5-ARHGAP8				
4	Claudin	29841	GRHL1			0.896681359	high.cor
5	Claudin	10256	CNKSR1	204740_at		0.594827586	low.cor
6	Claudin	10053	AP1M2	218261_at		0.782797511	high.cor
7	Claudin	2886	GRB7	210761_s_at		0.814012303	high.cor
8	Claudin	54836	BSPRY	218792_s_at		0.891690433	high.cor
9	Claudin	4072	EPCAM	201839_s_at	Claudin-CD24	0.926497278	high.cor
10	Claudin	2065	ERBB3	202454_s_at		0.939460721	high.cor
11	Claudin	54845	ESRP1	219121_s_at		0.9213119	high.cor
12	Claudin	79977	GRHL2	219388_at		0.738981073	high.cor
13	Claudin	1364	CLDN4	201428_at	Claudin-CD24	0.817215452	high.cor
14	Claudin	1999	ELF3	201510_at	Claudin-CD24	0.792714545	high.cor
15	Claudin	126695	C1orf172			0.736777288	high.cor
16	Claudin	92359	CRB3			0.562094892	low.cor
17	Claudin	57111	RAB25	218186_at	Claudin-CD24	0.792520093	high.cor
18	Claudin	58495	OVOL2	211778_s_at		0.894477573	high.cor
19	Claudin	114569	MAL2				
20	Claudin	149466	C1orf210			0.731073373	high.cor
21	Claudin	128218	TMEM125			0.89175525	high.cor
22	Claudin	999	CDH1	201131_s_at		0.946655432	high.cor
23	Claudin	5652	PRSS8	202525_at		0.821947109	high.cor
24	Claudin	91862	MARVELD3			0.778001037	high.cor
25	Claudin	2041	EPHA1	205977_s_at		0.540381125	low.cor
26	Claudin	140893	C20orf151			0.011991185	low.cor
27	Claudin	57662	KIAA1543			0.588605134	low.cor
28	Claudin	11187	PKP3	209873_s_at		0.855263158	high.cor
29	Claudin	3898	LAD1	203287_at		0.864078299	high.cor
30	Claudin	146439	CCDC64B			0.782149339	high.cor
31	Claudin	81607	PVRL4			0.794659061	high.cor
